CampaignId,CampaignName,Date,Device,Cost,Impressions,Clicks,AllConversions,Conversions,CostPerAllConversion,Engagements,VideoQuartile100Rate,VideoQuartile75Rate,VideoQuartile50Rate,VideoQuartile25Rate,VideoViews
17940803726,AK_COL_MAX_PEF_CPC_EST_AU_LG_Ago22_EXP_AGO,2023-02-18,Computers,41956.35,5130,31,3.88,2.72,10824.91,2218,0,0,0,0,1895
17940803726,AK_COL_MAX_PEF_CPC_EST_AU_LG_Ago22_EXP_AGO,2023-02-14,Computers,28507.09,3585,17,45.4,17.93,627.87,1509,0,0,0,0,1316
17940803726,AK_COL_MAX_PEF_CPC_EST_AU_LG_Ago22_EXP_AGO,2023-02-22,Computers,64584.22,6887,38,3,2,21528.07,2899,0,0,0,0,2459
17940803726,AK_COL_MAX_PEF_CPC_EST_AU_LG_Ago22_EXP_AGO,2023-02-02,Computers,12420.85,2427,10,4.07,0.71,3052.34,930,0,0,0,0,797
17940803726,AK_COL_MAX_PEF_CPC_EST_AU_LG_Ago22_EXP_AGO,2023-02-15,Computers,63307.97,7457,26,39.09,16.07,1619.53,3443,0,0,0,0,2982
17940803726,AK_COL_MAX_PEF_CPC_EST_AU_LG_Ago22_EXP_AGO,2023-02-17,Computers,49971.97,5902,30,24.2,9.06,2064.92,2564,0,0,0,0,2239
17940803726,AK_COL_MAX_PEF_CPC_EST_AU_LG_Ago22_EXP_AGO,2023-02-12,Computers,18208.77,2793,10,36.77,7.07,495.26,1233,0,0,0,0,1045
17940803726,AK_COL_MAX_PEF_CPC_EST_AU_LG_Ago22_EXP_AGO,2023-02-07,Computers,28691.75,3854,22,14.4,5.56,1991.85,1789,0,0,0,0,1547
17940803726,AK_COL_MAX_PEF_CPC_EST_AU_LG_Ago22_EXP_AGO,2023-02-16,Computers,81118.59,8747,39,37.79,17.3,2146.59,3989,0,0,0,0,3462
17940803726,AK_COL_MAX_PEF_CPC_EST_AU_LG_Ago22_EXP_AGO,2023-02-04,Computers,16646.5,2549,14,16.96,9.3,981.5,1127,0,0,0,0,968
17940803726,AK_COL_MAX_PEF_CPC_EST_AU_LG_Ago22_EXP_AGO,2023-02-11,Computers,20579.18,3645,29,10.03,2.76,2052.48,1512,0,0,0,0,1296
17940803726,AK_COL_MAX_PEF_CPC_EST_AU_LG_Ago22_EXP_AGO,2023-02-01,Computers,3396.43,1059,11,18.01,12.01,188.6,277,0,0,0,0,249
9816215655,AK_COL_SEM_PEF_CPC_AON_LB_LG_Abr20_EXP_ABR,2023-02-09,Computers,53765,516,57,1,0,53765,0,0,0,0,0,0
9816215655,AK_COL_SEM_PEF_CPC_AON_LB_LG_Abr20_EXP_ABR,2023-02-06,Computers,45380,491,55,6.22,4.11,7293.93,0,0,0,0,0,0
9816215655,AK_COL_SEM_PEF_CPC_AON_LB_LG_Abr20_EXP_ABR,2023-02-20,Computers,61305,443,45,0.84,0.56,72743.13,0,0,0,0,0,0
9816215655,AK_COL_SEM_PEF_CPC_AON_LB_LG_Abr20_EXP_ABR,2023-02-23,Computers,26363,378,28,0,0,0,0,0,0,0,0,0
9816215655,AK_COL_SEM_PEF_CPC_AON_LB_LG_Abr20_EXP_ABR,2023-02-03,Computers,35933,398,38,4.29,2.87,8380.73,0,0,0,0,0,0
9816215655,AK_COL_SEM_PEF_CPC_AON_LB_LG_Abr20_EXP_ABR,2023-02-10,Computers,57665,408,46,38.71,25.84,1489.59,0,0,0,0,0,0
9816215655,AK_COL_SEM_PEF_CPC_AON_LB_LG_Abr20_EXP_ABR,2023-02-19,Computers,41239,294,31,3,2,13746.33,0,0,0,0,0,0
9816215655,AK_COL_SEM_PEF_CPC_AON_LB_LG_Abr20_EXP_ABR,2023-02-08,Computers,40078,500,49,2.97,1.98,13479.25,0,0,0,0,0,0
9816215655,AK_COL_SEM_PEF_CPC_AON_LB_LG_Abr20_EXP_ABR,2023-02-21,Computers,34663,425,47,0,0,0,0,0,0,0,0,0
9816215655,AK_COL_SEM_PEF_CPC_AON_LB_LG_Abr20_EXP_ABR,2023-02-13,Computers,44533,551,66,0,0,0,0,0,0,0,0,0
9816215655,AK_COL_SEM_PEF_CPC_AON_LB_LG_Abr20_EXP_ABR,2023-02-05,Computers,42565,243,34,3,2,14188.33,0,0,0,0,0,0
9816215655,AK_COL_SEM_PEF_CPC_AON_LB_LG_Abr20_EXP_ABR,2023-02-18,Computers,33572,223,19,0.79,0.39,42718.83,0,0,0,0,0,0
9816215655,AK_COL_SEM_PEF_CPC_AON_LB_LG_Abr20_EXP_ABR,2023-02-14,Computers,64189,479,69,9,6,7132.11,0,0,0,0,0,0
9816215655,AK_COL_SEM_PEF_CPC_AON_LB_LG_Abr20_EXP_ABR,2023-02-22,Computers,52325,446,52,0,0,0,0,0,0,0,0,0
9816215655,AK_COL_SEM_PEF_CPC_AON_LB_LG_Abr20_EXP_ABR,2023-02-02,Computers,51205,582,65,5.38,3.95,9517.26,0,0,0,0,0,0
9816215655,AK_COL_SEM_PEF_CPC_AON_LB_LG_Abr20_EXP_ABR,2023-02-15,Computers,22948,445,40,0,0,0,0,0,0,0,0,0
